centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
all,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,12257,919.2750000000017
all,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,12628,947.0999999999979
all,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,12703,952.7250000000017
all,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,12704,952.7999999999979
all,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,12733,954.9750000000018
all,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,12995,974.6249999999977
all,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,13243,993.225000000002
all,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,13245,993.3749999999977
all,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,13740,1030.500000000002
all,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,13721,1029.0750000000019
all,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,13798,1034.8499999999976
all,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,14036,1052.6999999999998
all,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,14440,1082.9999999999998
all,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,14534,1090.0499999999997
all,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,14932,1119.8999999999999
all,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,15294,1147.0499999999997
all,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,15417,1156.2749999999999
all,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,16051,1203.8249999999996
all,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,16458,1234.3499999999997
all,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,16616,1246.2000000000023
all,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,16897,1267.274999999997
all,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,17114,1283.5500000000025
