centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
all,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,285,534.375000000001
all,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,317,594.3749999999986
all,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,368,690.0000000000013
all,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,367,688.1249999999985
all,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,383,718.1250000000013
all,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,370,693.7499999999984
all,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,380,712.5000000000014
all,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,369,691.8749999999984
all,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,385,721.8750000000014
all,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,363,680.6250000000013
all,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,385,721.8749999999984
all,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,389,729.3749999999999
all,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,399,748.1249999999998
all,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,357,669.3749999999999
all,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,348,652.4999999999998
all,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,369,691.8749999999999
all,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,365,684.3749999999999
all,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,364,682.4999999999999
all,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,372,697.4999999999999
all,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,381,714.3750000000014
all,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,352,659.9999999999985
all,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,390,731.2500000000014
all,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,401,751.8749999999983
all,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,405,759.3750000000015
all,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,402,753.7499999999983
all,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,403,755.6250000000014
all,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,385,721.8749999999984
all,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,398,746.2500000000014
all,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,377,706.8749999999984
all,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,383,718.1250000000013
all,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,406,761.2499999999983
all,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,392,735.0000000000015
all,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,387,725.6250000000015
all,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,377,706.8749999999984
all,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,384,720.0000000000014
all,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,354,663.7499999999984
all,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,387,725.6250000000015
all,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,406,761.2499999999983
all,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,390,731.2500000000014
all,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,382,716.2500000000014
all,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,401,751.8749999999952
all,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,376,705.0000000000014
all,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,382,716.2500000000014
all,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,347,650.6250000000013
all,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,368,689.9999999999955
all,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,394,738.7500000000014
all,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,389,729.3750000000014
all,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,372,697.5000000000014
all,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,391,733.1250000000014
all,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,361,676.8749999999957
all,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,395,740.6250000000014
all,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,418,783.7500000000015
all,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,373,699.3750000000013
all,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,329,616.874999999996
all,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,365,684.3750000000013
all,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,344,645.0000000000011
all,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,354,663.7500000000013
all,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,357,669.3749999999958
all,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,367,688.1250000000014
all,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,334,626.2500000000011
0-5%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,106,1987.5000000000036
0-5%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,99,1856.2499999999957
0-5%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,128,2400.0000000000045
0-5%,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,149,2793.7499999999936
0-5%,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,139,2606.250000000005
0-5%,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,121,2268.749999999995
0-5%,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,139,2606.250000000005
0-5%,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,133,2493.7499999999945
0-5%,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,122,2287.500000000004
0-5%,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,110,2062.500000000004
