centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_dpT_per_event,invariant_yield_proxy
all,0.1500036621987841,0.1611582079419894,0.15558093507038676,0.01115454574320529,31337,5618.695861118092,3592.3554017975885
all,0.1611582079419894,0.17314222603882545,0.16715021699040744,0.011984018096836052,33933,5663.042182648036,3370.101653674773
all,0.17314222603882545,0.18601739756544516,0.1795798118021353,0.012875171526619711,35759,5554.722113964455,3076.840434719154
all,0.18601739756544516,0.1998499903152546,0.19293369394034987,0.013832592749809441,36374,5259.173122190139,2711.4995503046475
all,0.1998499903152546,0.21471119987556828,0.20728059509541144,0.01486120956031367,34001,4575.8052010515285,2195.882156858844
all,0.21471119987556828,0.23067751606734677,0.22269435797145753,0.01596631619177849,31540,3950.817410999394,1764.728476794946
all,0.23067751606734677,0.2478311166340605,0.23925431635070363,0.017153600566713723,29268,3412.461411372032,1418.7573238336672
all,0.2478311166340605,0.2662602902059753,0.25704570342001787,0.018429173571914814,28004,3039.0944977236277,1176.072254371001
all,0.2662602902059753,0.2860598907168336,0.27616009046140444,0.019799600510858273,27542,2782.0763338023644,1002.0935679098114
all,0.2860598907168336,0.30733182561178773,0.29669585816431066,0.02127193489495416,26842,2523.70084174779,846.1094349581765
all,0.30733182561178773,0.33018558035936524,0.3187587029855765,0.022853754747577504,27202,2380.527865153835,742.8675149858836
all,0.33018558035936524,0.35473878196710024,0.34246218116323274,0.024553201607734998,29021,2363.927968632613,686.6284111342043
all,0.35473878196710024,0.381117804401214,0.3679282931841571,0.026379022434113775,30264,2294.550533522585,620.3468623325589
all,0.381117804401214,0.4094584190264065,0.3952881117138103,0.028340614625192495,31368,2213.6428877669014,557.0497147966897
all,0.4094584190264065,0.43990649341353694,0.4246824562199717,0.03044807438713043,32963,2165.1943949488355,507.14567093583975
all,0.43990649341353694,0.47261874211191646,0.4562626177627267,0.03271224869837952,34444,2105.877851295883,459.11178197237143
all,0.47261874211191646,0.5077635332503974,0.4901911376811569,0.0351447911384809,35299,2008.7756311261871,407.6299869075592
all,0.5077635332503974,0.5455217551187899,0.5266426441845936,0.037758221868392505,34569,1831.071395283992,345.8512937231328
all,0.5455217551187899,0.5860877471898521,0.5658047511543209,0.04056599207106226,33854,1669.0828091025408,293.4346819247576
all,0.5860877471898521,0.6296703003737725,0.6078790237818124,0.04358255318392035,32141,1474.9480079500402,241.356891220278
all,0.6296703003737725,0.676493731653399,0.6530820160135857,0.046823431279626515,29076,1241.9423013388318,189.1619768328679
all,0.676493731653399,0.7267990386313017,0.7016463851423503,0.0503053069779027,26779,1064.6590432998669,150.93584980691946
all,0.7267990386313017,0.7808451399310617,0.7538220892811818,0.05404610129976006,25631,948.486546988498,125.15910961939423
all,0.7808451399310617,0.8389102078370584,0.8098776738840601,0.05806506790599664,24262,835.6831697597776,102.64135530501463
all,0.8389102078370584,0.9012931000317808,0.8701016539344195,0.06238289219472237,22125,709.3290875626246,81.09198365930561
all,0.9012931000317808,0.9683148977997376,0.9348039989157592,0.0670217977679568,20031,597.7458279872296,63.605715307077524
all,0.9683148977997376,1.0403205586150097,1.0043177282073736,0.07200566081527215,17619,489.37819056201397,48.47006821258523
all,1.0403205586150097,1.1176806916182294,1.0790006251166195,0.07736013300321964,16163,417.8638110492213,38.52238909761601
all,1.1176806916182294,1.2007934651212615,1.1592370783697454,0.08311277350303214,14585,350.9689157339433,30.11594805159194
all,1.2007934651212615,1.2900866559574091,1.2454400605393352,0.08929319083614762,12754,285.6656791088024,22.81578332349677
all,1.2900866559574091,1.38601985122504,1.3380532535912244,0.09593319526763078,11896,248.00591634236704,18.436937859155126
all,1.38601985122504,1.489086813756876,1.437553332490958,0.10306696253183611,11636,225.79495338102706,15.62393466714241
all,1.489086813756876,1.5998180234898973,1.5444524186233868,0.11073120973302131,12321,222.53888546339502,14.332815964650127
all,1.5998180234898973,1.7187834078161408,1.659300715653019,0.11896538432624348,9570,160.88713627412508,9.644869814876026
all,1.7187834078161408,1.8465952749673606,1.7826893413917508,0.12781186715121984,7523,117.71989827985547,6.568623342165961
all,1.8465952749673606,1.9839114655315202,1.9152533702494403,0.13731619056415956,6717,97.83260040062868,5.081097294736227
all,1.9839114655315202,2.131438738321799,2.0576751019266597,0.14752727279027877,5314,72.04091690292756,3.4825918397047255
all,2.131438738321799,2.289936408024979,2.210687573173389,0.15849766970318013,4051,51.11747078157478,2.3000757354771477
all,2.289936408024979,2.4602202533520083,2.3750783306884937,0.17028384532702923,3044,35.752070246640415,1.4973502747254746
all,2.4602202533520083,2.64316671580576,2.551693484578884,0.18294646245375157,2121,23.187111371843923,0.9038956415498633
all,2.64316671580576,2.839717410676809,2.7414420632412844,0.19655069487104893,1662,16.911667507361283,0.6136313064511782
all,2.839717410676809,3.050883973485085,2.945300692080947,0.2111665628082764,1217,11.52644607948604,0.3892834428511856
all,3.050883973485085,3.2777532668117577,3.1643186201484212,0.2268692933266725,851,7.5021170782652575,0.235832567763838
all,3.2777532668117577,3.5214929743206373,3.3996231205661975,0.24373970750887963,578,4.742764368657027,0.13877170469012212
all,3.5214929743206373,3.783357610761187,3.6524252925409124,0.2618646364405497,439,3.3528773183519553,0.09131381138140603
all,3.783357610761187,4.064694978886332,3.9240262948237596,0.2813373681251452,277,1.9691660716523387,0.049917242285960985
all,4.064694978886332,4.366953106518446,4.215824042702389,0.3022581276321139,193,1.2770541623608893,0.03013193276051826
all,4.366953106518446,4.691687699468186,4.529320402993316,0.3247345929497403,145,0.8930369794168611,0.019612662192119042
all,4.691687699468186,5.040570148665986,4.866128924067086,0.34888244919779954,99,0.567526398806446,0.01160119176796483
all,5.040570148665986,5.415396132718431,5.227983140692208,0.37482598405244527,73,0.3895140844333028,0.007411210292902966
all,5.415396132718431,5.818094860166397,5.616745496442414,0.40269872744796587,44,0.21852564709524885,0.0038700610689046777
all,5.818094860166397,6.25073899901436,6.034416929590378,0.43264413884796316,41,0.18953221050988486,0.0031242650004287033
all,6.25073899901436,6.715555344637606,6.483147171825983,0.4648163456232455,38,0.16350543761126984,0.0025086869394355216
all,6.715555344637606,7.214936280974467,6.965245812806036,0.49938093633686087,29,0.1161438008135651,0.0016586690285012825
all,7.214936280974467,7.751452093993688,7.483194187484077,0.5365158130192214,11,0.04100531515780658,0.0005450712654331199
all,7.751452093993688,8.327864200813686,8.039658147403687,0.5764121068199977,20,0.06939479502031214,0.0008585971917147233
all,8.327864200813686,8.947139362563245,8.637501781688465,0.6192751617495595,11,0.03552540350213012,0.00040912028990002143
all,8.947139362563245,9.612464954136392,9.279802158349819,0.6653255915731471,13,0.0390786110279083,0.00041889053829806085
all,9.612464954136392,10.327265369434123,9.969865161785258,0.7148004152977308,7,0.019585886773958686,0.00019541329322975514
all,10.327265369434123,11.095219646529811,10.711242507981968,0.7679542770956882,12,0.03125186058050897,0.0002902259056605848
all,11.095219646529811,11.920280403473985,11.507750025001897,0.8250607569441737,5,0.012120319522937427,0.00010476682886194648
all,11.920280403473985,12.806694182200129,12.363487292837057,0.8864137787261441,3,0.006768847849615489,5.4459533179576493e-05
all,12.806694182200129,13.759023305240364,13.282858743720247,0.9523291230402346,8,0.01680091431932826,0.00012581763336754712
all,13.759023305240364,14.782169357746376,14.270596331493369,1.0231460525060125,5,0.009773775675043457,6.812717716995493e-05
all,14.782169357746376,15.88139841567617,15.331783886711273,1.0992290579297936,6,0.010916741977873028,7.08272705363078e-05
all,15.88139841567617,17.062368149994857,16.471883282835513,1.180969734318687,6,0.010161141010885362,6.136198088158879e-05
all,17.062368149994857,18.331156946393122,17.696762548193988,1.2687887963982654,3,0.00472891943642024,2.6580811805971736e-05
all,18.331156946393122,19.694295190401107,19.012726068397114,1.3631382440079847,6,0.008803215706659984,4.605715435607664e-05
all,19.694295190401107,21.158798878920376,20.426547034660743,1.4645036885192688,5,0.006828251836026993,3.325176639424044e-05
all,21.158798878920376,22.732205731170623,21.9455023050455,1.5734068522502476,4,0.005084508173177585,2.3046425347891958e-05
all,22.732205731170623,24.422613984912232,23.577409858041428,1.6904082537416087,2,0.0023662922794811607,9.983261396903615e-06
all,24.422613984912232,26.238724077626735,25.330669031269483,1.8161100927145029,9,0.00991129341343826,3.8920984904592846e-05
all,26.238724077626735,28.189883427185617,27.214303752406174,1.951159349558882,3,0.0030750948154780284,1.1239873726245797e-05
all,28.189883427185617,30.286134542491496,29.238008984838558,2.096251115305879,8,0.007632673339169733,2.5967433597404655e-05
all,30.286134542491496,32.53826671171416,31.412200627102827,2.252132169222662,1,0.0008880473479006842,2.8121462818672794e-06
all,32.53826671171416,34.9578715341581,33.74806912293613,2.4196048224439437,2,0.0016531625176543349,4.872667408402076e-06
all,34.9578715341581,37.5574025815809,36.2576370578695,2.5995310474228006,2,0.0015387390752519142,4.221488730155687e-06
all,37.5574025815809,40.35023949603599,38.95382103880844,2.792836914455087,1,0.0007161177187427079,1.8286664782519867e-06
all,40.35023949603599,43.350756854148,41.850498175092,3.0005173581120133,1,0.0006665517180205352,1.584285214263315e-06
all,43.350756854148,46.57439815226082,44.962577503204415,3.223641298112817,3,0.0018612492660124804,4.1176884959349896e-06
0-5%,0.1500036621987841,0.1611582079419894,0.15558093507038676,0.01115454574320529,5183,18586.144588298223,11883.191146259627
0-5%,0.1611582079419894,0.17314222603882545,0.16715021699040744,0.011984018096836052,5765,19242.294039999957,11451.17498213248
0-5%,0.17314222603882545,0.18601739756544516,0.1795798118021353,0.012875171526619711,6094,18932.56330574087,10487.018993360287
0-5%,0.18601739756544516,0.1998499903152546,0.19293369394034987,0.013832592749809441,6111,17671.307499699753,9110.888960197779
0-5%,0.1998499903152546,0.21471119987556828,0.20728059509541144,0.01486120956031367,5742,15455.000420245216,7416.696770497034
0-5%,0.21471119987556828,0.23067751606734677,0.22269435797145753,0.01596631619177849,5403,13535.996494375224,6046.181331720413
0-5%,0.23067751606734677,0.2478311166340605,0.23925431635070363,0.017153600566713723,4935,11507.788072380059,4784.452229820382
0-5%,0.2478311166340605,0.2662602902059753,0.25704570342001787,0.018429173571914814,4753,10316.252069476075,3992.1949900195445
0-5%,0.2662602902059753,0.2860598907168336,0.27616009046140444,0.019799600510858273,4682,9458.77670093869,3407.0162551403214
0-5%,0.2860598907168336,0.30733182561178773,0.29669585816431066,0.02127193489495416,4730,8894.348395400526,2981.9667888772633
0-5%,0.30733182561178773,0.33018558035936524,0.3187587029855765,0.022853754747577504,4699,8224.469111357894,2566.527794220033
0-5%,0.33018558035936524,0.35473878196710024,0.34246218116323274,0.024553201607734998,5044,8217.258312107026,2386.7914308679415
0-5%,0.35473878196710024,0.381117804401214,0.3679282931841571,0.026379022434113775,5421,8220.168148444312,2222.376645985198
0-5%,0.381117804401214,0.4094584190264065,0.3952881117138103,0.028340614625192495,5511,7778.236390259752,1957.3456887557745
0-5%,0.4094584190264065,0.43990649341353694,0.4246824562199717,0.03044807438713043,5834,7664.1956740172345,1795.156899699474
0-5%,0.43990649341353694,0.47261874211191646,0.4562626177627267,0.03271224869837952,6046,7392.949418728897,1611.7697327865271
