centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
all,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,3163,593.0625000000011
all,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,3236,606.7499999999986
all,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,3274,613.8750000000013
all,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,3315,621.5624999999985
all,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,3252,609.7500000000013
all,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,3199,599.8124999999986
all,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,3394,636.3750000000011
all,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,3225,604.6874999999986
all,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,3407,638.8125000000013
all,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,3428,642.7500000000013
all,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,3397,636.9374999999985
all,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,3521,660.1874999999999
all,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,3666,687.3749999999998
all,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,3638,682.1249999999999
all,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,3569,669.1874999999998
all,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,3658,685.8749999999999
all,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,3657,685.6874999999999
all,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,3830,718.1249999999998
all,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,3954,741.3749999999999
all,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,3816,715.5000000000013
all,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,3829,717.9374999999983
all,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,4012,752.2500000000014
all,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,4000,749.9999999999983
all,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,4011,752.0625000000014
all,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,4105,769.6874999999982
all,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,4051,759.5625000000014
all,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,4026,754.8749999999983
all,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,4144,777.0000000000015
all,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,4123,773.0624999999982
all,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,4155,779.0625000000014
all,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,4113,771.1874999999983
all,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,4237,794.4375000000015
all,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,4085,765.9375000000015
all,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,3936,737.9999999999983
all,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,4006,751.1250000000015
all,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,3987,747.5624999999983
all,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,4211,789.5625000000015
all,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,3988,747.7499999999983
all,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,4009,751.6875000000015
all,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,3912,733.5000000000014
all,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,4081,765.1874999999951
all,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,3914,733.8750000000014
all,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,3853,722.4375000000014
all,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,3761,705.1875000000014
all,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,3753,703.6874999999955
all,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,3665,687.1875000000013
all,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,3638,682.1250000000014
all,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,3534,662.6250000000014
all,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,3532,662.2500000000013
all,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,3367,631.312499999996
all,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,3434,643.8750000000013
all,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,3372,632.2500000000011
all,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,3297,618.1875000000011
all,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,3379,633.5624999999959
all,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,3229,605.4375000000011
all,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,3245,608.4375000000013
all,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,3211,602.0625000000011
all,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,3124,585.7499999999962
all,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,3225,604.6875000000011
all,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,3221,603.9375000000011
0-5%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,438,1095.000000000002
0-5%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,416,1039.9999999999977
0-5%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,460,1150.0000000000023
0-5%,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,502,1254.9999999999973
0-5%,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,441,1102.500000000002
0-5%,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,456,1139.9999999999973
0-5%,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,472,1180.0000000000023
0-5%,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,475,1187.4999999999973
0-5%,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,483,1207.5000000000023
0-5%,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,463,1157.5000000000023
0-5%,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,490,1224.999999999997
0-5%,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,443,1107.4999999999998
0-5%,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,468,1169.9999999999998
0-5%,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,473,1182.4999999999998
0-5%,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,486,1214.9999999999998
0-5%,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,515,1287.4999999999998
0-5%,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,508,1269.9999999999998
0-5%,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,517,1292.4999999999998
0-5%,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,569,1422.4999999999995
0-5%,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,532,1330.0000000000025
0-5%,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,530,1324.999999999997
0-5%,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,569,1422.5000000000025
0-5%,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,524,1309.9999999999968
0-5%,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,581,1452.5000000000027
0-5%,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,569,1422.4999999999966
0-5%,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,570,1425.0000000000027
0-5%,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,567,1417.4999999999966
