delta_eta_center,delta_phi_center,pair_counts
-1.575293922046085,-3.097959422289935,1.0
-1.575293922046085,-3.0106929596902186,0.0
-1.575293922046085,-2.923426497090502,1.0
-1.575293922046085,-2.8361600344907854,0.0
-1.575293922046085,-2.748893571891069,1.0
-1.575293922046085,-2.6616271092913526,0.0
-1.575293922046085,-2.574360646691636,1.0
-1.575293922046085,-2.4870941840919194,0.0
-1.575293922046085,-2.399827721492203,0.0
-1.575293922046085,-2.3125612588924866,0.0
-1.575293922046085,-2.2252947962927703,0.0
-1.575293922046085,-2.138028333693054,1.0
-1.575293922046085,-2.0507618710933375,0.0
-1.575293922046085,-1.9634954084936207,0.0
-1.575293922046085,-1.8762289458939043,0.0
-1.575293922046085,-1.7889624832941877,0.0
-1.575293922046085,-1.7016960206944713,0.0
-1.575293922046085,-1.6144295580947547,0.0
-1.575293922046085,-1.5271630954950384,0.0
-1.575293922046085,-1.439896632895322,0.0
-1.575293922046085,-1.3526301702956054,1.0
-1.575293922046085,-1.2653637076958888,0.0
-1.575293922046085,-1.1780972450961724,1.0
-1.575293922046085,-1.090830782496456,0.0
-1.575293922046085,-1.0035643198967397,1.0
-1.575293922046085,-0.9162978572970231,0.0
-1.575293922046085,-0.8290313946973065,1.0
-1.575293922046085,-0.7417649320975901,0.0
-1.575293922046085,-0.6544984694978737,0.0
-1.575293922046085,-0.5672320068981571,0.0
-1.575293922046085,-0.4799655442984405,0.0
-1.575293922046085,-0.39269908169872414,0.0
-1.575293922046085,-0.30543261909900776,0.0
-1.575293922046085,-0.21816615649929139,0.0
-1.575293922046085,-0.1308996938995748,0.0
-1.575293922046085,-0.04363323129985819,0.0
-1.575293922046085,0.04363323129985819,0.0
-1.575293922046085,0.13089969389957457,0.0
-1.575293922046085,0.21816615649929116,0.0
-1.575293922046085,0.30543261909900776,1.0
-1.575293922046085,0.39269908169872414,2.0
-1.575293922046085,0.4799655442984405,0.0
-1.575293922046085,0.5672320068981569,0.0
-1.575293922046085,0.6544984694978735,0.0
-1.575293922046085,0.7417649320975901,0.0
-1.575293922046085,0.8290313946973065,0.0
-1.575293922046085,0.9162978572970228,1.0
-1.575293922046085,1.0035643198967392,0.0
-1.575293922046085,1.0908307824964556,0.0
-1.575293922046085,1.178097245096172,0.0
-1.575293922046085,1.2653637076958888,2.0
-1.575293922046085,1.3526301702956056,0.0
-1.575293922046085,1.439896632895322,1.0
-1.575293922046085,1.5271630954950384,0.0
-1.575293922046085,1.6144295580947547,0.0
-1.575293922046085,1.7016960206944711,1.0
-1.575293922046085,1.7889624832941875,0.0
-1.575293922046085,1.8762289458939039,0.0
-1.575293922046085,1.9634954084936203,0.0
-1.575293922046085,2.050761871093337,2.0
-1.575293922046085,2.138028333693054,1.0
-1.575293922046085,2.2252947962927703,0.0
-1.575293922046085,2.3125612588924866,1.0
-1.575293922046085,2.399827721492203,0.0
-1.575293922046085,2.4870941840919194,2.0
-1.575293922046085,2.574360646691636,1.0
-1.575293922046085,2.661627109291352,0.0
-1.575293922046085,2.7488935718910685,0.0
-1.575293922046085,2.8361600344907854,1.0
-1.575293922046085,2.923426497090502,1.0
-1.575293922046085,3.0106929596902186,2.0
-1.575293922046085,3.097959422289935,1.0
-1.535561173475513,-3.097959422289935,1.0
-1.535561173475513,-3.0106929596902186,2.0
-1.535561173475513,-2.923426497090502,2.0
-1.535561173475513,-2.8361600344907854,1.0
-1.535561173475513,-2.748893571891069,1.0
-1.535561173475513,-2.6616271092913526,0.0
-1.535561173475513,-2.574360646691636,0.0
-1.535561173475513,-2.4870941840919194,1.0
-1.535561173475513,-2.399827721492203,0.0
-1.535561173475513,-2.3125612588924866,0.0
-1.535561173475513,-2.2252947962927703,2.0
-1.535561173475513,-2.138028333693054,2.0
-1.535561173475513,-2.0507618710933375,1.0
-1.535561173475513,-1.9634954084936207,0.0
-1.535561173475513,-1.8762289458939043,1.0
-1.535561173475513,-1.7889624832941877,1.0
-1.535561173475513,-1.7016960206944713,2.0
-1.535561173475513,-1.6144295580947547,2.0
-1.535561173475513,-1.5271630954950384,0.0
-1.535561173475513,-1.439896632895322,0.0
-1.535561173475513,-1.3526301702956054,1.0
-1.535561173475513,-1.2653637076958888,1.0
-1.535561173475513,-1.1780972450961724,1.0
-1.535561173475513,-1.090830782496456,1.0
-1.535561173475513,-1.0035643198967397,1.0
-1.535561173475513,-0.9162978572970231,1.0
-1.535561173475513,-0.8290313946973065,0.0
-1.535561173475513,-0.7417649320975901,1.0
-1.535561173475513,-0.6544984694978737,2.0
-1.535561173475513,-0.5672320068981571,1.0
-1.535561173475513,-0.4799655442984405,0.0
-1.535561173475513,-0.39269908169872414,0.0
-1.535561173475513,-0.30543261909900776,0.0
-1.535561173475513,-0.21816615649929139,0.0
-1.535561173475513,-0.1308996938995748,1.0
-1.535561173475513,-0.04363323129985819,0.0
-1.535561173475513,0.04363323129985819,1.0
-1.535561173475513,0.13089969389957457,1.0
-1.535561173475513,0.21816615649929116,0.0
-1.535561173475513,0.30543261909900776,1.0
-1.535561173475513,0.39269908169872414,1.0
-1.535561173475513,0.4799655442984405,1.0
-1.535561173475513,0.5672320068981569,2.0
-1.535561173475513,0.6544984694978735,2.0
-1.535561173475513,0.7417649320975901,0.0
-1.535561173475513,0.8290313946973065,0.0
-1.535561173475513,0.9162978572970228,1.0
-1.535561173475513,1.0035643198967392,2.0
-1.535561173475513,1.0908307824964556,1.0
-1.535561173475513,1.178097245096172,1.0
-1.535561173475513,1.2653637076958888,0.0
-1.535561173475513,1.3526301702956056,0.0
-1.535561173475513,1.439896632895322,1.0
-1.535561173475513,1.5271630954950384,2.0
-1.535561173475513,1.6144295580947547,0.0
-1.535561173475513,1.7016960206944711,0.0
-1.535561173475513,1.7889624832941875,4.0
-1.535561173475513,1.8762289458939039,1.0
-1.535561173475513,1.9634954084936203,0.0
-1.535561173475513,2.050761871093337,3.0
-1.535561173475513,2.138028333693054,1.0
-1.535561173475513,2.2252947962927703,2.0
-1.535561173475513,2.3125612588924866,0.0
-1.535561173475513,2.399827721492203,2.0
-1.535561173475513,2.4870941840919194,0.0
-1.535561173475513,2.574360646691636,0.0
-1.535561173475513,2.661627109291352,0.0
-1.535561173475513,2.7488935718910685,2.0
-1.535561173475513,2.8361600344907854,0.0
-1.535561173475513,2.923426497090502,0.0
-1.535561173475513,3.0106929596902186,0.0
-1.535561173475513,3.097959422289935,0.0
-1.495828424904941,-3.097959422289935,5.0
-1.495828424904941,-3.0106929596902186,4.0
-1.495828424904941,-2.923426497090502,2.0
-1.495828424904941,-2.8361600344907854,1.0
-1.495828424904941,-2.748893571891069,2.0
-1.495828424904941,-2.6616271092913526,3.0
-1.495828424904941,-2.574360646691636,2.0
-1.495828424904941,-2.4870941840919194,3.0
-1.495828424904941,-2.399827721492203,2.0
-1.495828424904941,-2.3125612588924866,3.0
-1.495828424904941,-2.2252947962927703,6.0
-1.495828424904941,-2.138028333693054,3.0
-1.495828424904941,-2.0507618710933375,3.0
-1.495828424904941,-1.9634954084936207,3.0
-1.495828424904941,-1.8762289458939043,1.0
-1.495828424904941,-1.7889624832941877,1.0
-1.495828424904941,-1.7016960206944713,2.0
-1.495828424904941,-1.6144295580947547,3.0
-1.495828424904941,-1.5271630954950384,1.0
-1.495828424904941,-1.439896632895322,2.0
-1.495828424904941,-1.3526301702956054,2.0
-1.495828424904941,-1.2653637076958888,0.0
-1.495828424904941,-1.1780972450961724,2.0
-1.495828424904941,-1.090830782496456,1.0
-1.495828424904941,-1.0035643198967397,3.0
-1.495828424904941,-0.9162978572970231,0.0
-1.495828424904941,-0.8290313946973065,4.0
-1.495828424904941,-0.7417649320975901,0.0
-1.495828424904941,-0.6544984694978737,2.0
-1.495828424904941,-0.5672320068981571,3.0
-1.495828424904941,-0.4799655442984405,2.0
-1.495828424904941,-0.39269908169872414,1.0
-1.495828424904941,-0.30543261909900776,2.0
-1.495828424904941,-0.21816615649929139,0.0
-1.495828424904941,-0.1308996938995748,2.0
-1.495828424904941,-0.04363323129985819,1.0
-1.495828424904941,0.04363323129985819,0.0
-1.495828424904941,0.13089969389957457,4.0
-1.495828424904941,0.21816615649929116,1.0
-1.495828424904941,0.30543261909900776,0.0
-1.495828424904941,0.39269908169872414,2.0
-1.495828424904941,0.4799655442984405,1.0
-1.495828424904941,0.5672320068981569,0.0
-1.495828424904941,0.6544984694978735,0.0
-1.495828424904941,0.7417649320975901,5.0
-1.495828424904941,0.8290313946973065,0.0
-1.495828424904941,0.9162978572970228,2.0
-1.495828424904941,1.0035643198967392,2.0
-1.495828424904941,1.0908307824964556,4.0
-1.495828424904941,1.178097245096172,1.0
-1.495828424904941,1.2653637076958888,5.0
-1.495828424904941,1.3526301702956056,2.0
-1.495828424904941,1.439896632895322,3.0
-1.495828424904941,1.5271630954950384,1.0
-1.495828424904941,1.6144295580947547,4.0
-1.495828424904941,1.7016960206944711,3.0
-1.495828424904941,1.7889624832941875,2.0
-1.495828424904941,1.8762289458939039,1.0
-1.495828424904941,1.9634954084936203,2.0
-1.495828424904941,2.050761871093337,2.0
-1.495828424904941,2.138028333693054,1.0
-1.495828424904941,2.2252947962927703,3.0
-1.495828424904941,2.3125612588924866,3.0
-1.495828424904941,2.399827721492203,3.0
-1.495828424904941,2.4870941840919194,1.0
-1.495828424904941,2.574360646691636,3.0
-1.495828424904941,2.661627109291352,2.0
-1.495828424904941,2.7488935718910685,3.0
-1.495828424904941,2.8361600344907854,5.0
-1.495828424904941,2.923426497090502,0.0
-1.495828424904941,3.0106929596902186,2.0
-1.495828424904941,3.097959422289935,0.0
-1.456095676334369,-3.097959422289935,2.0
-1.456095676334369,-3.0106929596902186,0.0
-1.456095676334369,-2.923426497090502,2.0
-1.456095676334369,-2.8361600344907854,3.0
-1.456095676334369,-2.748893571891069,3.0
-1.456095676334369,-2.6616271092913526,5.0
-1.456095676334369,-2.574360646691636,3.0
-1.456095676334369,-2.4870941840919194,3.0
-1.456095676334369,-2.399827721492203,2.0
-1.456095676334369,-2.3125612588924866,2.0
-1.456095676334369,-2.2252947962927703,5.0
-1.456095676334369,-2.138028333693054,1.0
-1.456095676334369,-2.0507618710933375,4.0
-1.456095676334369,-1.9634954084936207,1.0
-1.456095676334369,-1.8762289458939043,3.0
-1.456095676334369,-1.7889624832941877,1.0
-1.456095676334369,-1.7016960206944713,3.0
-1.456095676334369,-1.6144295580947547,2.0
-1.456095676334369,-1.5271630954950384,5.0
-1.456095676334369,-1.439896632895322,3.0
-1.456095676334369,-1.3526301702956054,3.0
-1.456095676334369,-1.2653637076958888,3.0
-1.456095676334369,-1.1780972450961724,3.0
-1.456095676334369,-1.090830782496456,4.0
-1.456095676334369,-1.0035643198967397,4.0
-1.456095676334369,-0.9162978572970231,2.0
-1.456095676334369,-0.8290313946973065,3.0
-1.456095676334369,-0.7417649320975901,2.0
-1.456095676334369,-0.6544984694978737,6.0
-1.456095676334369,-0.5672320068981571,4.0
-1.456095676334369,-0.4799655442984405,2.0
-1.456095676334369,-0.39269908169872414,1.0
-1.456095676334369,-0.30543261909900776,2.0
-1.456095676334369,-0.21816615649929139,2.0
-1.456095676334369,-0.1308996938995748,2.0
-1.456095676334369,-0.04363323129985819,0.0
-1.456095676334369,0.04363323129985819,2.0
-1.456095676334369,0.13089969389957457,1.0
-1.456095676334369,0.21816615649929116,3.0
-1.456095676334369,0.30543261909900776,2.0
-1.456095676334369,0.39269908169872414,3.0
-1.456095676334369,0.4799655442984405,6.0
-1.456095676334369,0.5672320068981569,3.0
-1.456095676334369,0.6544984694978735,1.0
-1.456095676334369,0.7417649320975901,5.0
-1.456095676334369,0.8290313946973065,5.0
-1.456095676334369,0.9162978572970228,2.0
-1.456095676334369,1.0035643198967392,3.0
-1.456095676334369,1.0908307824964556,5.0
-1.456095676334369,1.178097245096172,1.0
-1.456095676334369,1.2653637076958888,2.0
-1.456095676334369,1.3526301702956056,4.0
-1.456095676334369,1.439896632895322,6.0
-1.456095676334369,1.5271630954950384,5.0
-1.456095676334369,1.6144295580947547,2.0
-1.456095676334369,1.7016960206944711,4.0
-1.456095676334369,1.7889624832941875,2.0
-1.456095676334369,1.8762289458939039,0.0
-1.456095676334369,1.9634954084936203,4.0
-1.456095676334369,2.050761871093337,3.0
-1.456095676334369,2.138028333693054,2.0
-1.456095676334369,2.2252947962927703,3.0
-1.456095676334369,2.3125612588924866,4.0
-1.456095676334369,2.399827721492203,1.0
-1.456095676334369,2.4870941840919194,2.0
-1.456095676334369,2.574360646691636,1.0
-1.456095676334369,2.661627109291352,2.0
-1.456095676334369,2.7488935718910685,1.0
-1.456095676334369,2.8361600344907854,1.0
-1.456095676334369,2.923426497090502,0.0
-1.456095676334369,3.0106929596902186,2.0
-1.456095676334369,3.097959422289935,6.0
-1.4163629277637972,-3.097959422289935,3.0
-1.4163629277637972,-3.0106929596902186,4.0
-1.4163629277637972,-2.923426497090502,4.0
-1.4163629277637972,-2.8361600344907854,5.0
-1.4163629277637972,-2.748893571891069,2.0
-1.4163629277637972,-2.6616271092913526,2.0
-1.4163629277637972,-2.574360646691636,4.0
-1.4163629277637972,-2.4870941840919194,7.0
-1.4163629277637972,-2.399827721492203,3.0
-1.4163629277637972,-2.3125612588924866,3.0
-1.4163629277637972,-2.2252947962927703,3.0
-1.4163629277637972,-2.138028333693054,1.0
-1.4163629277637972,-2.0507618710933375,4.0
-1.4163629277637972,-1.9634954084936207,4.0
-1.4163629277637972,-1.8762289458939043,5.0
-1.4163629277637972,-1.7889624832941877,2.0
-1.4163629277637972,-1.7016960206944713,7.0
-1.4163629277637972,-1.6144295580947547,1.0
-1.4163629277637972,-1.5271630954950384,3.0
-1.4163629277637972,-1.439896632895322,4.0
-1.4163629277637972,-1.3526301702956054,10.0
-1.4163629277637972,-1.2653637076958888,5.0
-1.4163629277637972,-1.1780972450961724,7.0
-1.4163629277637972,-1.090830782496456,3.0
-1.4163629277637972,-1.0035643198967397,3.0
-1.4163629277637972,-0.9162978572970231,7.0
-1.4163629277637972,-0.8290313946973065,6.0
-1.4163629277637972,-0.7417649320975901,3.0
-1.4163629277637972,-0.6544984694978737,4.0
-1.4163629277637972,-0.5672320068981571,10.0
-1.4163629277637972,-0.4799655442984405,2.0
-1.4163629277637972,-0.39269908169872414,9.0
-1.4163629277637972,-0.30543261909900776,4.0
-1.4163629277637972,-0.21816615649929139,5.0
-1.4163629277637972,-0.1308996938995748,4.0
-1.4163629277637972,-0.04363323129985819,4.0
-1.4163629277637972,0.04363323129985819,3.0
-1.4163629277637972,0.13089969389957457,2.0
-1.4163629277637972,0.21816615649929116,3.0
-1.4163629277637972,0.30543261909900776,3.0
-1.4163629277637972,0.39269908169872414,4.0
-1.4163629277637972,0.4799655442984405,4.0
-1.4163629277637972,0.5672320068981569,2.0
-1.4163629277637972,0.6544984694978735,6.0
-1.4163629277637972,0.7417649320975901,3.0
-1.4163629277637972,0.8290313946973065,1.0
-1.4163629277637972,0.9162978572970228,4.0
-1.4163629277637972,1.0035643198967392,5.0
-1.4163629277637972,1.0908307824964556,4.0
-1.4163629277637972,1.178097245096172,3.0
-1.4163629277637972,1.2653637076958888,4.0
-1.4163629277637972,1.3526301702956056,2.0
-1.4163629277637972,1.439896632895322,4.0
-1.4163629277637972,1.5271630954950384,3.0
-1.4163629277637972,1.6144295580947547,2.0
-1.4163629277637972,1.7016960206944711,5.0
-1.4163629277637972,1.7889624832941875,4.0
-1.4163629277637972,1.8762289458939039,6.0
-1.4163629277637972,1.9634954084936203,5.0
-1.4163629277637972,2.050761871093337,4.0
-1.4163629277637972,2.138028333693054,2.0
-1.4163629277637972,2.2252947962927703,7.0
-1.4163629277637972,2.3125612588924866,5.0
-1.4163629277637972,2.399827721492203,1.0
-1.4163629277637972,2.4870941840919194,4.0
-1.4163629277637972,2.574360646691636,3.0
-1.4163629277637972,2.661627109291352,5.0
-1.4163629277637972,2.7488935718910685,1.0
-1.4163629277637972,2.8361600344907854,1.0
-1.4163629277637972,2.923426497090502,6.0
-1.4163629277637972,3.0106929596902186,0.0
-1.4163629277637972,3.097959422289935,5.0
-1.3766301791932252,-3.097959422289935,2.0
-1.3766301791932252,-3.0106929596902186,4.0
-1.3766301791932252,-2.923426497090502,5.0
-1.3766301791932252,-2.8361600344907854,6.0
-1.3766301791932252,-2.748893571891069,3.0
-1.3766301791932252,-2.6616271092913526,8.0
-1.3766301791932252,-2.574360646691636,3.0
-1.3766301791932252,-2.4870941840919194,6.0
-1.3766301791932252,-2.399827721492203,4.0
-1.3766301791932252,-2.3125612588924866,3.0
-1.3766301791932252,-2.2252947962927703,7.0
-1.3766301791932252,-2.138028333693054,4.0
-1.3766301791932252,-2.0507618710933375,5.0
-1.3766301791932252,-1.9634954084936207,6.0
-1.3766301791932252,-1.8762289458939043,5.0
-1.3766301791932252,-1.7889624832941877,3.0
-1.3766301791932252,-1.7016960206944713,3.0
-1.3766301791932252,-1.6144295580947547,2.0
-1.3766301791932252,-1.5271630954950384,8.0
-1.3766301791932252,-1.439896632895322,2.0
-1.3766301791932252,-1.3526301702956054,4.0
-1.3766301791932252,-1.2653637076958888,0.0
