delta_eta_center,delta_phi_center,pair_counts
-1.5788992945214702,-3.097959422289935,37.0
-1.5788992945214702,-3.0106929596902186,37.0
-1.5788992945214702,-2.923426497090502,29.0
-1.5788992945214702,-2.8361600344907854,47.0
-1.5788992945214702,-2.748893571891069,24.0
-1.5788992945214702,-2.6616271092913526,37.0
-1.5788992945214702,-2.574360646691636,32.0
-1.5788992945214702,-2.4870941840919194,32.0
-1.5788992945214702,-2.399827721492203,44.0
-1.5788992945214702,-2.3125612588924866,37.0
-1.5788992945214702,-2.2252947962927703,37.0
-1.5788992945214702,-2.138028333693054,33.0
-1.5788992945214702,-2.0507618710933375,39.0
-1.5788992945214702,-1.9634954084936207,30.0
-1.5788992945214702,-1.8762289458939043,44.0
-1.5788992945214702,-1.7889624832941877,34.0
-1.5788992945214702,-1.7016960206944713,47.0
-1.5788992945214702,-1.6144295580947547,36.0
-1.5788992945214702,-1.5271630954950384,28.0
-1.5788992945214702,-1.439896632895322,39.0
-1.5788992945214702,-1.3526301702956054,24.0
-1.5788992945214702,-1.2653637076958888,43.0
-1.5788992945214702,-1.1780972450961724,22.0
-1.5788992945214702,-1.090830782496456,33.0
-1.5788992945214702,-1.0035643198967397,32.0
-1.5788992945214702,-0.9162978572970231,37.0
-1.5788992945214702,-0.8290313946973065,29.0
-1.5788992945214702,-0.7417649320975901,47.0
-1.5788992945214702,-0.6544984694978737,33.0
-1.5788992945214702,-0.5672320068981571,38.0
-1.5788992945214702,-0.4799655442984405,35.0
-1.5788992945214702,-0.39269908169872414,30.0
-1.5788992945214702,-0.30543261909900776,38.0
-1.5788992945214702,-0.21816615649929139,42.0
-1.5788992945214702,-0.1308996938995748,32.0
-1.5788992945214702,-0.04363323129985819,37.0
-1.5788992945214702,0.04363323129985819,38.0
-1.5788992945214702,0.13089969389957457,35.0
-1.5788992945214702,0.21816615649929116,33.0
-1.5788992945214702,0.30543261909900776,37.0
-1.5788992945214702,0.39269908169872414,27.0
-1.5788992945214702,0.4799655442984405,39.0
-1.5788992945214702,0.5672320068981569,42.0
-1.5788992945214702,0.6544984694978735,34.0
-1.5788992945214702,0.7417649320975901,33.0
-1.5788992945214702,0.8290313946973065,26.0
-1.5788992945214702,0.9162978572970228,35.0
-1.5788992945214702,1.0035643198967392,48.0
-1.5788992945214702,1.0908307824964556,25.0
-1.5788992945214702,1.178097245096172,23.0
-1.5788992945214702,1.2653637076958888,26.0
-1.5788992945214702,1.3526301702956056,43.0
-1.5788992945214702,1.439896632895322,39.0
-1.5788992945214702,1.5271630954950384,33.0
-1.5788992945214702,1.6144295580947547,40.0
-1.5788992945214702,1.7016960206944711,35.0
-1.5788992945214702,1.7889624832941875,40.0
-1.5788992945214702,1.8762289458939039,37.0
-1.5788992945214702,1.9634954084936203,24.0
-1.5788992945214702,2.050761871093337,38.0
-1.5788992945214702,2.138028333693054,39.0
-1.5788992945214702,2.2252947962927703,36.0
-1.5788992945214702,2.3125612588924866,42.0
-1.5788992945214702,2.399827721492203,45.0
-1.5788992945214702,2.4870941840919194,40.0
-1.5788992945214702,2.574360646691636,41.0
-1.5788992945214702,2.661627109291352,41.0
-1.5788992945214702,2.7488935718910685,27.0
-1.5788992945214702,2.8361600344907854,36.0
-1.5788992945214702,2.923426497090502,42.0
-1.5788992945214702,3.0106929596902186,28.0
-1.5788992945214702,3.097959422289935,32.0
-1.538930917953226,-3.097959422289935,87.0
-1.538930917953226,-3.0106929596902186,110.0
-1.538930917953226,-2.923426497090502,96.0
-1.538930917953226,-2.8361600344907854,108.0
-1.538930917953226,-2.748893571891069,99.0
